    Copyright (C) 2020 Per Tunedal, Stockholm, Sweden	
2244	feja
2245	fejd
2246	fel
2251	fela
2252	fena
2253	fest
2254	fet
2255	fett
2256	fia
2261	fik
2262	fika
2263	fil
2264	fila
2265	film
2266	filt
2311	fimp
2312	fin
2313	fint
2314	fiol
2315	fira
2316	fisk
2321	fixa
2322	fjun
2323	flak
2324	flat
2325	flik
2326	flin
2331	flis
2332	flit
2333	flod
2334	flor
2335	flum
2336	fly
2341	flyg
2342	flyt
2343	fnas
2344	fog
2345	foga
2346	folk
2351	fond
2352	form
2353	fors
2354	fort
2355	fot
2356	fota
2361	foto
2362	fras
2363	fred
2364	fri
2365	fria
2366	frid
2411	fris
2412	from
2413	fru
2414	frys
2415	fukt
2416	ful
2421	full
2422	fura
2423	fusk
2424	fux
2425	fynd
2426	fyr
2431	fyra
2432	gadd
2433	gagn
2434	gala
2435	galt
2436	gam
2441	gap
2442	gapa
2443	gard
2444	garn
2445	gas
2446	gasa
2451	gast
2452	gata
2453	ge
2454	geni
2455	get
2456	gift
2461	gikt
2462	gips
2463	gira
2464	glad
2465	glam
2466	glas
2511	gles
2512	glid
2513	glim
2514	glo
2515	glob
2516	gno
2521	gnu
2522	gny
2523	god
2524	gods
2525	golf
2526	golv
2531	gom
2532	gps
2533	grad
2534	graf
2535	gram
2536	gran
2541	grav
2542	grej
2543	gren
2544	grip
2545	gris
2546	gro
2551	grop
2552	grov
2553	grus
2554	gry
2555	grym
2556	gryn
2561	gryt
2562	gud
2563	gul
2564	gula
2565	guld
2566	gull
2611	gump
2612	gupp
2613	gylf
2614	gym
2615	ha
2616	hack
2621	hage
2622	haj
2623	haja
2624	haka
2625	hake
2626	hal
2631	hala
2632	hall
2633	halm
2634	hals
2635	hamn
2636	hand
2641	hane
2642	hare
2643	harv
2644	hasa
2645	hast
2646	hat
2651	hata
2652	hatt
2653	hav
2654	hed
2655	heja
2656	hejd
2661	hel
2662	hela
2663	helg
2664	hem
2665	herr
2666	hes
3111	het
3112	heta
3113	hets
3114	hink
3115	hipp
3116	hiss
3121	hit
3122	hiva
3123	ho
3124	holk
3125	hona
3126	hop
3131	hopp
3132	hord
3133	horn
3134	hot
3135	hota
3136	hov
3141	hud
3142	hugg
3143	hund
3144	hus
3145	hut
3146	huta
3151	hutt
3152	huv
3153	huva
3154	hy
3155	hyfs
3156	hyra
3161	hyss
3162	hytt
3163	ide
3164	idka
3165	idog
3166	idol
3211	igel
3212	iglo
3213	ikon
3214	ila
3215	imma
3216	inne
3221	inre
3222	inse
3223	inta
3224	iris
3225	irra
3226	is
3231	isa
3232	isig
3233	iver
3234	jack
3235	jaga
3236	jak
3241	jakt
3242	jama
3243	jarl
3244	java
3245	jobb
3246	jojo
3251	jour
3252	juli
3253	juni
3254	jury
3255	just
3256	kaj
3261	kaja
3262	kaka
3263	kalk
3264	kall
3265	kalv
3266	kam
3311	kamp
3312	kana
3313	kant
3314	kaos
3315	kap
3316	kapa
3321	karm
3322	karp
3323	kass
3324	kast
3325	katt
3326	kela
3331	keps
3332	kex
3333	kick
3334	kid
3335	kika
3336	kil
3341	kila
3342	kilo
3343	kind
3344	kisa
3345	kitt
3346	kiv
3351	kjol
3352	klan
3353	klar
3354	klen
3355	klev
3356	kli
3361	klia
3362	kliv
3363	klo
3364	klok
3365	klon
3366	klor
3411	klot
3412	knak
3413	knep
3414	knip
3415	kniv
3416	knog
3421	knut
3422	ko
3423	kock
3424	kod
3425	koj
3426	koja
3431	kok
3432	koka
3433	kola
3434	koll
3435	kolt
3436	kolv
3441	koma
3442	kon
3443	kopp
3444	kor
3445	korg
3446	kork
3451	korn
3452	korp
3453	kors
3454	kort
3455	korv
3456	kos
3461	kosa
3462	kost
3463	kota
3464	kram
3465	kran
3466	kras
3511	krav
3512	krig
3513	kris
